City,Country,MAT,MAP,TSEAS,PSEAS,AI
Ankara,Turkiye,11.93,395,23.3,36.99,18.01
Denver_USA,USA,10.58,389,24.4,46.57,18.9
Salt_Lake_City_USA,USA,12.32,407,27.5,33.56,18.23
Phoenix_USA,USA,23.48,211,22.4,49.66,6.3
Boston_USA,USA,11.07,1091,25.1,9.03,51.77
London_UK,United_Kingdom,11.35,603,13.5,15.46,28.24
Kyiv_Ukraine,Ukraine,8.64,650,24.0,26.73,34.87
Stockholm_Sweden,Sweden,7.48,539,19.9,32.33,30.83
Auckland_NZ,New_Zealand,15.19,1209,9.5,21.25,47.99
Seoul_South_Korea,South_Korea,12.64,1461,27.6,101.29,64.53
